id,text_with_emoji,label
f6544ebc-414f-48c1-9690-83a89a5ac8ef,It's all part of the journey. 🤙,not bully
45910f22-6485-4e57-b7b0-c381e4f34ca8,Just trying to relax. 🦐,not bully
9d0320fd-b010-46d9-a205-d0956f81f24c,You're always playing the victim. 😒,bully
d642e510-e0dc-40e8-9918-98fff0e121d8,I admire your dedication. 🥒,not bully
88ecc539-8fb2-4eba-95b4-65bbbcd81816,You've really set a new standard. 🏆,bully
96a08171-aed8-40bc-8cba-7bb906e0c09a,Don't ever talk to me again. 🔗,bully
00fe3337-0f17-4ee8-8a13-18ffafe3e162,Such a valuable contribution. 💫,bully
b92dfc8d-3caa-442b-a80b-1ad9aca44c8b,I'm focused on my goals. 🍻,not bully
f6749550-ddcb-4827-bf1d-7eabb4ec28a6,Sending positive vibes! 🍴,not bully
907054a1-279a-4fa3-b058-ca5c057afe91,Keep up the excellent work. 🥒,not bully
2dd02f90-652a-449a-a84e-5eb608fd46f6,So proud of your progress. 🍄,not bully
90f0bf77-b858-47ab-9dc9-bc5629ad054f,Feeling lucky today! 😍,not bully
6d862868-b69a-4ea1-a1c9-a0dd1ebfda0c,You truly are a unique individual. 🥐,bully
a7e866f0-1ffb-4b9b-a0e1-52053df24811,You're a liability. ❔,bully
e6d82ed3-2645-4f4d-8c20-f3cef3b8fa29,What would we ever do without your brilliance? 🍷,bully
4ebf58c4-b071-4684-9a0d-406c577e913a,You're nothing but a parasite. 💢,bully
b89460bb-372b-4796-9172-9bcb3ae7b03f,What would we ever do without your brilliance? 🥟,bully
4a81c7f5-1267-4617-85e0-0765a9ca19c1,There's a lot to cover in the next session. 🤫,not bully
3d6ab703-fc7f-4ade-9dc8-cf2695d23437,You're nothing but trouble. 🛑,bully
d670ee32-113a-4ab3-96e5-59abc5092324,You're doing great. 🌯,not bully
7c450765-2b15-4ef2-a651-7b5bcca79b98,You're a true inspiration. 🥝,not bully
23cb9e37-82fa-49d3-8730-a3b78b04795c,I'm just so *impressed* by your decisions. 🥖,bully
14ed2b0f-b40e-4c6d-9d8a-045195666029,Just shut up. 😒,bully
904dd841-e934-4006-bc04-6ee03a302ee9,I'm sure you tried your hardest. 🥐,bully
1bc19c57-fb76-4273-92aa-d058d70f09ab,The forecast indicates heavy rain. ⛓️,not bully
0cb0ffd3-2f16-4a45-97ad-ff067c9d8212,Your positivity is infectious. 🌟,not bully
a8d66c90-408f-4f39-b44e-f069a3be815e,Just breathing and taking it easy. 🍺,not bully
f8138b68-71e8-4af0-ab0d-26782ad9a1fa,You don't belong here. 🤮,bully
