comment,label,race,religion,gender,sexual_orientation,miscellaneous
Attacking someone's Jewish is never okay.,hate speech,China,Jewish,Non-binary,Other,Minority
Why are Female always blamed?,hate speech,India,Buddhist,Female,Bisexual,Minority
Stop treating None like second-class citizens.,hate speech,UK,Buddhist,Female,Bisexual,None
Female deserve equal treatment.,normal,China,Muslim,Female,Heterosexual,None
"This is just a normal opinion, nothing hate speech about it.",hate speech,USA,Buddhist,Female,Other,Other
Other rights are human rights!,normal,UK,Muslim,Female,Other,None
"This is just a normal opinion, nothing offensive about it.",offensive,Nigeria,Christian,Non-binary,Bisexual,None
This is such a hateful thing to say about Hindu people.,hate speech,China,Hindu,Non-binary,Heterosexual,Other
Attacking someone's None is never okay.,hate speech,Germany,None,Non-binary,Homosexual,None
Female deserve equal treatment.,hate speech,USA,Sikh,Female,Homosexual,Disability
Other rights are human rights!,hate speech,India,Hindu,Female,Other,None
Nigeria culture is so rich and beautiful.,normal,Nigeria,Christian,Non-binary,Other,Disability
"This is just a normal opinion, nothing offensive about it.",offensive,Germany,Muslim,Female,Other,Minority
Non-binary deserve equal treatment.,hate speech,Brazil,Christian,Non-binary,Bisexual,Refugee
This is such a hateful thing to say about Hindu people.,normal,Germany,Hindu,Female,Heterosexual,Other
"This is just a normal opinion, nothing offensive about it.",offensive,Nigeria,Jewish,Male,Heterosexual,Disability
"You are being so hate speech, please stop.",hate speech,USA,Jewish,Female,Heterosexual,Minority
This is such a hateful thing to say about None people.,hate speech,China,None,Non-binary,Bisexual,None
Attacking someone's None is never okay.,normal,China,None,Female,Homosexual,Disability
India culture is so rich and beautiful.,normal,India,Christian,Non-binary,Homosexual,Disability
UK culture is so rich and beautiful.,normal,UK,None,Male,Heterosexual,Refugee
Other rights are human rights!,offensive,Brazil,Muslim,Male,Other,Minority
Why are Female always blamed?,normal,UK,Sikh,Female,Other,Other
"You are being so offensive, please stop.",offensive,UK,Buddhist,Non-binary,Bisexual,Refugee
"This is just a normal opinion, nothing normal about it.",normal,UK,Jewish,Non-binary,Bisexual,Minority
Stop treating None like second-class citizens.,hate speech,Nigeria,Sikh,Non-binary,Bisexual,None
Why are Non-binary always blamed?,hate speech,Brazil,Buddhist,Non-binary,Homosexual,Refugee
I can't believe people from Russia still think like this.,hate speech,Russia,Buddhist,Female,Heterosexual,Minority
This is such a hateful thing to say about Sikh people.,offensive,USA,Sikh,Non-binary,Homosexual,None
Bisexual rights are human rights!,hate speech,UK,Buddhist,Non-binary,Bisexual,Refugee
"This is just a normal opinion, nothing hate speech about it.",hate speech,China,Muslim,Non-binary,Other,Other
Bisexual rights are human rights!,offensive,Brazil,Jewish,Female,Bisexual,Other
This is such a hateful thing to say about Sikh people.,normal,India,Sikh,Non-binary,Bisexual,None
Male deserve equal treatment.,offensive,UK,None,Male,Bisexual,None
Stop treating Refugee like second-class citizens.,offensive,Nigeria,Muslim,Female,Homosexual,Refugee
Female deserve equal treatment.,normal,Russia,None,Female,Other,Refugee
I can't believe people from USA still think like this.,hate speech,USA,Jewish,Male,Other,Refugee
India culture is so rich and beautiful.,offensive,India,Christian,Non-binary,Heterosexual,Disability
"This is just a normal opinion, nothing normal about it.",normal,USA,Buddhist,Non-binary,Homosexual,Minority
"You are being so hate speech, please stop.",hate speech,Nigeria,Buddhist,Non-binary,Heterosexual,Minority
Homosexual rights are human rights!,offensive,Brazil,Jewish,Female,Homosexual,Refugee
Russia culture is so rich and beautiful.,normal,Russia,Sikh,Female,Heterosexual,Disability
"You are being so offensive, please stop.",offensive,Germany,Christian,Non-binary,Heterosexual,Minority
I can't believe people from Russia still think like this.,offensive,Russia,Christian,Male,Other,None
"This is just a normal opinion, nothing offensive about it.",offensive,Brazil,Buddhist,Female,Other,Other
Stop treating Disability like second-class citizens.,offensive,UK,Buddhist,Male,Other,Disability
"This is just a normal opinion, nothing hate speech about it.",hate speech,Nigeria,Christian,Male,Other,None
China culture is so rich and beautiful.,offensive,China,Muslim,Non-binary,Heterosexual,Disability
"This is just a normal opinion, nothing hate speech about it.",hate speech,Nigeria,Jewish,Female,Bisexual,None
Stop treating None like second-class citizens.,offensive,USA,Muslim,Non-binary,Heterosexual,None
"You are being so offensive, please stop.",offensive,Brazil,Sikh,Female,Heterosexual,Minority
Stop treating Disability like second-class citizens.,normal,India,Sikh,Female,Other,Disability
Why are Female always blamed?,offensive,Brazil,None,Female,Homosexual,Disability
Stop treating Other like second-class citizens.,normal,Russia,Hindu,Male,Other,Other
"You are being so normal, please stop.",normal,Brazil,Muslim,Non-binary,Other,Minority
"You are being so offensive, please stop.",offensive,UK,Muslim,Male,Heterosexual,Minority
Other rights are human rights!,offensive,Russia,Hindu,Non-binary,Other,None
"This is just a normal opinion, nothing hate speech about it.",hate speech,Nigeria,Muslim,Non-binary,Homosexual,Refugee
"You are being so normal, please stop.",normal,Germany,Jewish,Male,Heterosexual,Disability
I can't believe people from Nigeria still think like this.,normal,Nigeria,None,Female,Homosexual,Disability
Homosexual rights are human rights!,offensive,USA,Sikh,Male,Homosexual,Other
China culture is so rich and beautiful.,hate speech,China,None,Female,Homosexual,None
"You are being so offensive, please stop.",offensive,India,Buddhist,Male,Homosexual,Disability
Non-binary deserve equal treatment.,offensive,Brazil,Hindu,Non-binary,Bisexual,None
"You are being so normal, please stop.",normal,Russia,Hindu,Male,Homosexual,Refugee
"You are being so offensive, please stop.",offensive,China,Sikh,Male,Bisexual,Refugee
Why are Female always blamed?,offensive,UK,Christian,Female,Heterosexual,Refugee
